id, username, fullname, email, phone, address, password, admin, enable
3, test, test test, test@test.com, 123456, fake street, testo, 0, 1
4, test, test test, test@test.com, 123456, fake street, testo, 0, 1
5, test, test test, test@test.com, 123456, fake street, testo, 0, 1
6, test, test test, test@test.com, 123456, fake street, testo, 0, 1
7, test, test test, test@test.com, 123456, fake street, testo, 0, 1
8, test, test test, test@test.com, 123456, fake street, testo, 0, 1
9, test, test test, test@test.com, 123456, fake street, testo, 0, 1
10, test, test test, test@test.com, 123456, fake street, testo, 0, 1
11, test, test test, test@test.com, 123456, fake street, testo, 0, 1
12, test, test test, test@test.com, 123456, fake street, testo, 0, 1
